No	Investor	Tokens	TokenSubtotal
193	0x3317d73f7678680a1cb26a5badb2a7e0cfc399f7	2000	17420112.054464652948171
194	0xb8947120ffca6662de3e1f88eb8fd2e002f672ff	6755.8	17426867.854464652948171
195	0xaacc5d601e74eb7d7a55d0f27bde1719c28dd653	10000	17436867.854464652948171
196	0xbda40fb36d4032f2b0541d001625e8b5ba9a83ea	53000	17489867.854464652948171
197	0xf16769b8fb417e606bb0c3ee65bd5d9b44328b83	8000	17497867.854464652948171
198	0xc91e1aec51b6e554f913a5ecc21bef6d3c0825f0	10000	17507867.854464652948171
199	0x6886d4c76066d6daf6408a329d4cf76de4916c13	150000	17657867.854464652948171
200	0x3f68be5ea690643532093ba5d3b4897aadbe8c7c	12000	17669867.854464652948171
201	0x866b158c050587a281e82f815135f9191b92048d	1000	17670867.854464652948171
202	0xfb713baf73588ab2c9af035546c8fdf4dd154de0	4500	17675367.854464652948171
203	0xf66b2c7122060399692cf397e7f528b96b7ace1a	25100	17700467.854464652948171
204	0xe274aa3f7a9f9f27a2b8e4943ec495590f70c330	500	17700967.854464652948171
205	0x45cf1edfbfcdcac7f411190704b8db7506668bf9	709.16544	17701677.019904652948171
206	0xf327cfd2f7cb40d2d7fb7bad1ea261723f20036a	12000	17713677.019904652948171
207	0x5172c798c165a9735a8790134e5d102ea6adfcc6	3000	17716677.019904652948171
208	0xa9d4a2bcbe5b9e0869d70f0fe2e1d6aacd45edc5	860	17717537.019904652948171
209	0x375f95fb45811ace248adc5baee5228d91ffca50	18000	17735537.019904652948171
210	0x4929f4d38f2955649b5aa34343da04cf790b9d92	1000	17736537.019904652948171
211	0x00622dfee7a72f24881889110d1acae6e69b4b63	5000	17741537.019904652948171
212	0x1f2764d3f1656da1435d6bee384f4c932d424e41	2282.36525	17743819.385154652948171
213	0x00ae92580ffe442350bfefc4c9e4fd5b137a0fc9	4000	17747819.385154652948171
214	0x4c0a5c5e35bc4a2eaa8b37909d4e48dc342f55a2	10000	17757819.385154652948171
215	0xbfe4b932eb09c57fecc03327e1955288679a0d47	1320	17759139.385154652948171
216	0x8e5d6e1292f3c07ad35fd2e8848f007c7cb1d1ff	2000	17761139.385154652948171
217	0x68007d79f0b374cf2dca33d9ffc35578584ce1f8	1000	17762139.385154652948171
218	0x4ac6ebd8df05b2eeda4e4c44ae695dfa37ce330a	3500	17765639.385154652948171
219	0x4236a570d66d9d8ee2505b426414f38e28d9063b	1100	17766739.385154652948171
220	0xcc42571e41b939a8e46d5c2d5adf6d93bfaeb937	60000	17826739.385154652948171
221	0x33d26b3b40dfd7b37c4f035164c91ffd174f14d8	3000	17829739.385154652948171
222	0x3569afa440a0cb99ea69bcc27eeb26e448848732	6000	17835739.385154652948171
223	0x31d4f39a5b392387b8c74c592ae063d7849d985c	7500	17843239.385154652948171
224	0x8b3b91ed54154529f4f22f9fcb3aea08258b9776	8000	17851239.385154652948171
225	0x5d1c6b4226e08511f2783aba2f279505b210e46b	590	17851829.385154652948171
226	0xd3acf0a09553a883892a23c672f8bc21dded2d0c	9600	17861429.385154652948171
227	0x12f26406f3fa91faade2afcb373ef583daffd78b	500	17861929.385154652948171
228	0x10094b91c2776139bf2adaddd10e5e5b71403dd8	1000	17862929.385154652948171
229	0xeefcd01087281d035ece6a3bc369eb3afafc4cec	10000	17872929.385154652948171
230	0xbffb814b73801ff822427a3d8b902dbc8ffb5f93	12000	17884929.385154652948171
231	0x20d0a66c86b8ad70ba1ba7dd075b9c37bfd23380	20394.75	17905324.135154652948171
232	0xb8b0eb45463d0cbc85423120bcf57b3283d68d42	3500	17908824.135154652948171
233	0x5acbdfa57e751f796677ba05ca4c5e53e2d74bf5	10000	17918824.135154652948171
234	0x160061f6d06b3a122d336df019e9a5763f7b821c	500	17919324.135154652948171
